ID,wearable,engagement_level,pscore,ipw,outcome
175,0,0,0.05953097099107306,0.959999715196717,1
176,1,3,0.09939676097671771,0.9773960342918332,0
177,0,0,0.06416693240404876,0.9647553941636432,0
178,0,0,0.2254716497922917,1.1656771501750445,0
179,0,0,0.02697046415556723,0.9278752255103686,1
180,0,0,0.0409741002579079,0.9414240014192563,0
181,0,0,0.037860620454124826,0.9383775565095811,0
182,0,0,0.10586278782368105,1.0097443521027127,0
183,0,0,0.09820726912147494,1.0011724081212625,0
184,0,0,0.13588231551564905,1.0448229635974442,0
185,0,0,0.04298039504313273,0.9433976015993886,0
186,0,0,0.09013200932295631,0.9922868034164837,0
187,1,3,0.061062639764232554,1.5909891936411527,0
188,1,3,0.06608315384821918,1.4701174859667283,0
189,0,0,0.16719154892286642,1.0841028316081285,0
190,0,0,0.09001543866082531,0.9921596896888305,0
191,0,0,0.06206911026841705,0.9625975750284546,0
192,0,0,0.09961013131145825,1.0027322956387152,0
193,0,0,0.20183740634507,1.1311605018541233,0
194,0,0,0.08622981084349057,0.9880493046433393,0
195,0,0,0.2677138241114855,1.2329196285925108,0
196,0,0,0.06263180220298678,0.9631754118837887,0
197,0,0,0.5853626092911679,2.1774447269611654,0
198,0,0,0.04663068317751784,0.947009709740862,0
199,0,0,0.03418576428246202,0.9348070949991153,1
200,0,0,0.025693787332844383,0.926659389277995,0
201,0,0,0.05336884199964651,0.9537505631095713,0
202,0,0,0.0684799394654105,0.9692222832879911,1
203,0,0,0.10785959082825708,1.0120043781427879,0
204,0,0,0.10489710668560592,1.0086549901060224,0
205,0,0,0.05926265851525507,0.9597259088014456,0
206,0,0,0.046226307490170114,0.946608201809464,0
207,0,0,0.09844087350683368,1.0014318234587207,0
208,1,1,0.10654740485483657,0.9118007156763458,0
209,0,0,0.03942863801202332,0.9399093453414901,0
210,0,0,0.039491162486850466,0.9399705288891136,0
211,0,0,0.05305974676337931,0.9534392448879236,0
212,0,0,0.1110172026889961,1.0155989550425988,0
213,0,0,0.026422178944303716,0.9273526784134215,0
214,0,0,0.11365909653585837,1.0186261250848707,0
215,0,0,0.06399057772369772,0.9645736234195608,0
216,0,0,0.04616323435014672,0.9465456066634074,0
217,0,0,0.061084099912658944,0.9615877203867962,1
218,0,0,0.12339891055546286,1.0299439629626714,1
219,0,0,0.10523991545347046,1.0090414353446182,0
220,0,0,0.16813066884776742,1.0853267047955137,0
221,0,0,0.1135904387734741,1.0185472263528232,0
222,0,0,0.049660470249152995,0.9500288809796275,0
223,0,0,0.12676932073195663,1.0339192397095875,0
224,0,0,0.12469304586097998,1.0314667280211138,0
225,0,0,0.07785880415210694,0.9790799977976775,1
226,0,0,0.07897773282134216,0.9802694594622322,0
227,0,0,0.07962509966518168,0.9809589545210969,0
228,0,0,0.10536246519640446,1.0091796564271243,0
229,0,0,0.058806787387291816,0.9592610612794724,0
230,0,0,0.09746049715662773,1.0003440261124878,0
231,0,0,0.09183633348592424,0.9941489990074484,0
232,0,0,0.035302671314979654,0.9358893957243338,0
233,1,3,0.10014077770207404,0.970134267272481,0
234,0,0,0.022764007699549543,0.9238812396528289,0
235,0,0,0.06625427048694463,0.9669120526749132,0
236,0,0,0.1708939739339166,1.0889439608631444,0
237,0,0,0.040747238354785935,0.9412013559923716,0
238,0,0,0.02898244123605311,0.9297978104012683,0
239,0,0,0.10909205992042328,1.0134043702868545,0
240,0,0,0.1253894959559288,1.0322880823237952,0
241,0,0,0.046545161973862985,0.9469247666402351,0
242,0,0,0.09845458230398807,1.001447051117207,0
243,0,0,0.0644473367040463,0.9650445511203624,0
244,0,0,0.11456281205352373,1.0196657789964862,0
245,0,0,0.07496377540243512,0.9760158315883091,0
246,1,2,0.05993633795880516,1.6208864823684987,0
247,0,0,0.25151050688757326,1.2062293570021927,0
248,0,0,0.08625386290422646,0.9880753125474178,0
249,0,0,0.1334824748644819,1.0419293018438391,0
250,0,0,0.22408370321670998,1.1635920056619973,1
251,0,0,0.14651149595608176,1.0578349863203813,0
252,0,0,0.15707578484203694,1.0710927314274734,0
253,0,0,0.052287907155433515,0.9526627409490894,0
254,0,0,0.05409312071117675,0.9544808477116772,0
255,0,0,0.02985278207616818,0.9306319528824203,1
256,0,0,0.03735678456875436,0.9378864209783512,0
257,0,0,0.23490783241906915,1.180053904949167,0
258,0,0,0.06430603417663043,0.9648988162549859,1
259,0,0,0.16047227581012097,1.075426068711581,0
260,0,0,0.049581396475262406,0.9499498396302207,0
